numberOfPlot,street,buildingCount
5,5-й переулок Серафимовича,1
5,5-й переулок Танкистов,41
5,5-й Трикотажный переулок,21
5,5-й переулок Успенского,10
5,5-й Чукотский переулок,2
5,5-й Экскаваторный переулок,2
5,5-й Электронный переулок,0
5,5-я улица Кирпичная Горка,4
5,улица 5-я Кирпичная Горка,0
5,5-я Окинская улица,4
5,5-я Ольховская улица,1
5,5-я Рабочая улица,6
6,6-й Бронный переулок,2
6,6-й Гэсстроевский переулок,7
6,6-й Калужский переулок,0
6,6-й Камышенский переулок,0
6,6-й Порт-Артурский переулок,33
6,6-й Почтовый переулок,0
6,6-й Рабочий переулок,0
6,6-й переулок Танкистов,14
6,6-й переулок Успенского,10
6,6-й Чукотский переулок,2
6,6-й Электронный переулок,0
6,6-я Ольховская улица,2
7,7-й Бронный переулок,2
7,7-й Гранатовый переулок,1
7,переулок 7-й Гранатовый,1
7,7-й Калужский переулок,0
7,7-й Камышенский переулок,1
7,7-й Порт-Артурский переулок,30
7,7-й Почтовый переулок,0
7,7-й Трикотажный переулок,13
7,7-й переулок Успенского,0
7,7-й Чукотский переулок,0
8,улица 8-го Марта,0
8,8-й микрорайон,1
8,8-й Бронный переулок,4
8,8-й Гэсстроевский переулок,6
8,8-й Калужский переулок,0
8,8-й Камышенский переулок,0
8,8-й Порт-Артурский переулок,17
8,8-й Трикотажный переулок,7
8,8-й переулок Успенского,0
8,8-й Чукотский переулок,3
9,улица 91й перекат,0
9,улица 91-й Перекат,1
9,улица 9-го Ноября,78
9,9-й Бронный переулок,2
9,улица 9-й Гвардейской Дивизии,26
9,9-й Гэсстроевский переулок,5
9,9-й Калужский переулок,0
9,9-й Камышенский переулок,2
9,9-й Порт-Артурский переулок,3
9,9-й Почтовый переулок,0
9,9-й Трикотажный переулок,12
9,9-й переулок Успенского,0
9,9-й Чукотский переулок,0
10,Абаканская улица,4
10,Абразивная улица,3
10,Абхазская улица,5
10,улица Авиастроителей,67
10,Авиационная улица,9
10,Автогенная улица,155
10,проезд Автомобилистов,4
10,Автомобильная улица,0
10,Автономная улица,0
10,Агатовая улица,0
10,Адмиральская улица,0
10,улица Адриена Лежена,58
10,Азербайджанская улица,2
10,Азовский переулок,0
10,переулок Азолина,1
10,улица Айвазовского,2
10,улица Академика Будкера,9
10,проспект Академика Коптюга,15
10,проспект Академика Лаврентьева,42
10,улица Академика Ржанова,9
10,улица Академика Трофимука,5
10,проезд академика Яненко Н.Н.,0
10,Академическая улица,34
10,Акмолинская улица,1
10,улица Аксенова,26
10,Актюбинский переулок,0
10,Албазинская улица,0
10,Алданская улица,0
10,Алейская улица,9
10,улица Александра Еремина,0
